id,title,number,duration,length,guests,summary,guests_count,Jose Edelstein,Antonio Darwich,Sara Robisco,Juan Antonio Belmonte,Jesús Martínez Frías,Cristina Ramos,Miguel Santander,Valentín Martínez,Carlos Westendorp,Pepa Becerra González,Juan Carlos Ortega,Jose Carlos del Toro,David Kipping,Angel López,Francis Villatoro,Marja Seidel,Jose Ramón Arévalo,Chano Jiménez,Juanjo Martín,Laura,Olga Zamora,Marcos Pellejero,Eva Villaver,Javier Peláez,Bernabé Cedrés,Joaquim Matías,Carmen Agustín,Carlos Prats,Natalia Ruiz Zelmanovitch,Carlos Glez Montesdeoca,Nahúm Chazarra,Emilio Rey,María Ribes,Teo Muñoz,Alfred Rosenberg,Itahisa Marcelino,Elena Denia,Aleix Roig,Jorge Pla-García,Garik Israelian,Julio Castro,Consuelo Cid,Manolo Vázquez,Sandra Benítez,Isabel Cordero,Juan Martín Maldacena,Carlos González,Angel López Sánchez,Ignacio Cirac,Marian Griso,Raúl Abreu,Eva,Alberto Aparici,Héctor Vives,Globo,Raul Infante,Manolo Collados,Javier Licandro,Daniel Marín,Vary Bayón,Marian Martínez,Alicia López,José Edelstein,Enric Pallé,Ricardo García,Jose Alberto Rubiño,Noemí Pinilla,Ignacio Crespo,Daniel López,Guillermo Ballesteros,Beatriz Ruiz,Nacho Trujillo,Héctor Socas,Nayra Rodríguez,Jorge Iglesias,Andrés Asensio,Beatriz Villarroel,Narciso Ramos,Enrique Joven,Víctor Ruiz
EP259,Ep259: Exomars 2022; Dinosaurios; Coronavirus,259,14580,116642839,"['Sara Robisco', 'Héctor Socas', 'Francis Villatoro', 'Alberto Aparici', 'Carlos González', 'Ignacio Crespo']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Especial CB:SyR Home Edition #yomequedoencasa; Exomars 2020, retrasada (min 11:30); Descubierto el dinosaurio más pequeño (33:00); ADN preservado en cartílago de dinosaurio (53:00); Actualidad del Covid-19 (1:10:00). En la foto, de arriba a abajo y de izquierda a derecha: Sara Robisco, Héctor Socas, Francis Villatoro, Alberto Aparici, Carlos González, Ignacio Crespo. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
EP258,Ep258: Cosmología; Física de Partículas; Dryas Reciente; Actividad Solar; Coronavirus,258,7516,60135802,"['Alberto Aparici', 'Francis Villatoro', 'Carlos Westendorp', 'Héctor Socas']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Actualidad del Covid-19 (min 5:00); El evento Dryas reciente: ¿un impacto catastrófico? (28:00); Vacío cósmico y la tensión de la constante de Hubble (51:00); La anomalía de KOTO (1:16:00); La actividad solar en los últimos 4,000 millones de años (1:40:00). En la foto, de arriba a abajo y de izquierda a derecha: Alberto Aparici, Francis Villatoro, Carlos Westendorp, Héctor Socas. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EP257,Ep257: Marte; Freeman Dyson; Dark Energy Survey; Agujeros Negros; Luna,257,11558,92469124,"['Héctor Vives', 'Sara Robisco', 'Francis Villatoro', 'Beatriz Ruiz', 'Héctor Socas']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Adiós a Freeman Dyson (min 10:00); Fin de SETI@Home (34:30); ¿Una proteína extraterrestre? (39:00); Japón congela los fondos para el TMT (44:00); Retractado el paper de Zharkova et al (47:00); Resultados de Chang'E 4 en la Luna (1:02:40); Agujeros negros de masa intermedia en nuestra galaxia (1:17:00); Resultados del Dark Energy Survey (1:34:00); Resultados de 1 año de InSight en Marte, con Jorge Pla García (2:05:00). En la foto, de arriba a abajo y de izquierda a derecha: Héctor Vives, Sara Robisco, Francis Villatoro, Bea Ruiz, Héctor Socas. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
EP256,Ep256: Coronavirus; Cosmología; Nefertiti; Antimateria; MOND vs Materia Oscura; TMT; Katherine Johnson,256,10564,84513271,"['María Ribes', 'Héctor Vives', 'Ignacio Crespo', 'Carlos Westendorp', 'Sandra Benítez', 'Héctor Socas']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Coronavirus y miedos (min 6;00); Despedimos a Katherine Johnson, calculadora de la NASA (21:00); Actualización sobre el TMT (33:20); La posible tumba de Nefertiti (43:20); MOND y materia oscura (1:16:30); Antimateria: medidas del antihidrógeno, a la búsqueda de asimetrías (1:44:40); Energía oscura como granulado del espacio-tiempo (2:01:50); Betelgeuse (2:47:50). En la foto, de arriba a abajo y de izquierda a derecha: María Ribes, Héctor Vives, Ignacio Crespo, Carlos Westendorp, Sandra Benítez, Héctor Socas. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
EP255,Ep255: Starlink; FRBs; SETI; Betelgeuse; Cúmulos Globulares,255,8585,68687456,"['Angel López Sánchez', 'Sara Robisco', 'Francis Villatoro', 'Alberto Aparici', 'Héctor Socas']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Starlink (min 10:50); FRBs (Estallidos Rápidos de Radio) y Abraham Loeb (29:00); Un punto azul pálido (50:20); FAST, el mayor radiotelescopio del mundo comienza operaciones SETI (1:06:00); Nuevas imágenes de Betelgeuse (1:32:00); Cúmulos globulares (1:48:00); Electricidad a partir de la humedad del aire (2:08:30). En la foto, de arriba a abajo y de izquierda a derecha: Ángel López Sánchez, Sara Robisco, Francis Villatoro, Alberto Aparici, Héctor Socas. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EP254,Ep254: Mujeres en Ciencia; Carne Roja; Primer FRB Periódico; Web Cósmica Fractal; Robot Científico Bayesiano,254,7565,60521996,"['Sara Robisco', 'Beatriz Ruiz', 'Francis Villatoro', 'Bernabé Cedrés', 'Alicia López', 'Sandra Benítez', 'Carlos Westendorp']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Breves: coronavirus y Solar Orbiter (min 6:00); Mujeres en ciencia e igualdad (16:00); La polémica de la carne roja (1:00:00); Fast Radio Bursts, estallidos rápidos de radio (1:14:00); La Red Cósmica fractal (1:21:00); Máquina científica bayesiana (1:45:10). En la foto, de arriba a abajo y de izquierda a derecha: Sara Robisco, Bea Ruiz, Francis Villatoro, Bernabé Cedrés, Alicia López Oramas, Sandra Benítez, Carlos Westendorp. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EP253,Ep253: Polémica López Otín; La Voz de la Momia; Invariancia Lorentz; Lingüística; Protección Planetaria,253,9589,76712690,"['María Ribes', 'Francis Villatoro', 'Héctor Socas']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: La polémica de López Otín un año después (min 7:00); Reconstruyen el sonido de la voz de una momia de 3,000 años de antigüedad (32:30); Paralelismos entre el canto de los pájaros y el habla humana (45:30); Modelando el lenguaje (1:15:30); Descubierto el primer asteroide interior a Venus (1:34:50); MAGIC confirma la invariancia de Lorentz (1:40:00); Protección planetaria y los riesgos de contaminación biológica en el espacio (2:03:00); Señales de los oyentes (2:23:00).  En la foto, de arriba a abajo y de izquierda a derecha: María Ribes, Francis Villatoro, Héctor Socas. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EP252,Ep252: Coronavirus; Xenobots; Gravedad Masiva; Grafeno y Premio Wolf; Satélites rozándose; Neutrinos exóticos,252,8020,64167436,"['Francis Villatoro', 'Beatriz Ruiz', 'Alberto Aparici', 'Carlos González', 'Carlos Westendorp']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Coronavirus 2019-cnCoV; Premio Wolf y avance en Grafeno; Gravedad masiva y Premio Blavatnik; Detección de Materia Oscura con relojes atómicos; Robots biológicos o Xenobots; Satélites que pasan rozándose; Detección de neutrinos exóticos. En la foto, de arriba a abajo y de izquierda a derecha: Francisco Villatoro; Beatriz Ruiz; Alberto Aparici; Carlos González; Carlos Westendorp. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EP251,Ep251: Exoplanetas; Misión Solar Orbiter; Entrevistas: Enric Pallé y José Carlos del Toro,251,6380,51042473,"['Enric Pallé', 'Jose Carlos del Toro', 'Héctor Socas']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Exoplanetas (min 4:50): Tertulia con Enric Pallé; Solar Óbiter (1:12:40): Tertulia con Jose Carlos del Toro. En la foto, de arriba a abajo y de izquierda a derecha: Enric Pallé, Jose Carlos del Toro, Héctor Socas. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EP250,"Ep250: Cosmología: Energía Oscura, Defectos Topológicos; Vía Láctea; Galaxias sin Materia Oscura",250,8412,67296279,"['Carlos González', 'Jose Alberto Rubiño', 'Nacho Trujillo', 'Héctor Socas']","La tertulia semanal en la que repasamos las últimas noticias de la actualidad científica. En el episodio de hoy: Crisis cosmológica I: Anisotropía de la expansión acelerada (min 9:00); Crisis cosmológica II: Evolución de las Supernovas (35:00); Vía Láctea y Nubes de Magallanes (54:00); ¿Una población de galaxias sin materia oscura? (1:15:00); Cuerdas cósmicas, defectos topológicos y transiciones de fase cosmológicas. En la foto, de arriba a abajo y de izquierda a derecha: Carlos González Fernández, Jose Alberto Rubiño, Nacho Trujillo, Héctor Socas. Todos los comentarios vertidos durante la tertulia representan únicamente la opinión de quien los hace... y a veces ni eso. CB:SyR es una colaboración del Museo de la Ciencia y el Cosmos de Tenerife con el Área de Investigación y la UC3 del Instituto de Astrofísica de Canarias.",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
